Date,Positive,Neutral,Negative
2013-10-29,10,5,2
2013-10-30,26,0,0
2013-10-31,2,0,7
2013-11-01,8,0,0
2013-11-03,1,0,0
2013-11-04,24,0,13
2013-11-06,800,0,0
2013-11-07,5,5,0
2013-11-11,4,0,0
2013-11-13,0,6,0
2013-11-15,13,5,0
2013-11-16,0,2,0
2013-11-18,0,5,0
2013-11-20,10,0,0
2013-11-25,2,0,0
2013-11-28,4,0,210
2013-11-29,7,0,0
2013-11-30,8,0,0
2013-12-02,11,0,3
2013-12-03,0,28,0
2013-12-04,8,10,0
2013-12-05,3,0,0
2013-12-07,56,3,4
2013-12-09,3,0,0
2013-12-11,5,44,0
2013-12-12,0,8,0
2013-12-13,6,0,2
2013-12-16,0,7,0
2013-12-17,0,76,0
2013-12-19,33,3,220
2013-12-22,0,3,0
2013-12-23,22,0,0
2013-12-24,5,8,2
2013-12-27,7,0,0
2014-01-03,0,0,5
2014-01-06,8,0,0
2014-01-07,0,4,0
2014-01-08,0,4,0
2014-01-09,11,0,5
2014-01-10,0,70,4
2014-01-11,0,6,0
2014-01-12,16,3,0
2014-01-13,0,0,3
2014-01-14,6,9,4
2014-01-15,0,7,0
2014-01-17,539,4,0
2014-01-18,0,5,7
2014-01-21,13,0,0
2014-01-22,0,6,9
2014-01-23,0,4,0
2014-01-24,0,27,0
2014-01-25,13,0,4
2014-01-26,1,0,0
2014-01-27,14,0,27
2014-01-28,16,0,0
2014-01-29,14,8,0
2014-01-30,23,8,12
2014-01-31,0,6677,0
2014-02-01,19,159,0
2014-02-05,0,3,0
2014-02-06,4,9,0
2014-02-07,261,42,3
2014-02-08,0,0,5
2014-02-10,0,14,3
2014-02-11,47,48,0
2014-02-12,0,5,0
2014-02-13,0,3,0
2014-02-14,3,0,0
2014-02-15,4,4,0
2014-02-16,13,9,0
2014-02-17,8,17,7
2014-02-18,29,10,6
2014-02-19,0,8,22
2014-02-20,91,0,0
2014-02-21,44,67,1
2014-02-22,3736,119,7
2014-02-23,13,12,17
2014-02-24,3,8,0
2014-02-25,9,979,5
2014-02-26,42,7,2
2014-02-27,69,11,73
2014-02-28,6,0,7
2014-03-01,14,22,5
2014-03-02,264,0,0
2014-03-03,157,6,6
2014-03-04,8,22,4
2014-03-05,18,0,1
2014-03-06,16,0,0
2014-03-07,17,14,2
2014-03-08,0,8,0
2014-03-09,0,0,6
2014-03-10,3,0,10
2014-03-11,0,0,5
2014-03-12,1554,1051,2
2014-03-13,842,0,7
2014-03-14,4,1,4
2014-03-16,8,0,0
2014-03-17,7,3,0
2014-03-18,1,7,0
2014-03-19,3,0,0
2014-03-20,9,6,0
2014-03-21,4,0,3
2014-03-22,9,2,3
2014-03-23,12,0,0
2014-03-24,4,2,5
2014-03-25,1,14,0
2014-03-26,63,0,2
2014-03-27,7,2,5
2014-03-28,0,0,4
2014-03-30,0,6,1
2014-03-31,9,0,0
2014-04-01,7,106,0
2014-04-02,24,0,0
2014-04-03,9,31,46
2014-04-04,0,0,4
2014-04-05,0,0,13
2014-04-07,0,57,0
2014-04-08,1,11,3
2014-04-09,2559,0,0
2014-04-10,6,6,42
2014-04-11,2930,0,4
2014-04-12,4,8,18
2014-04-13,0,0,5
2014-04-14,2,0,1
2014-04-15,2,1,0
2014-04-16,11,2,1
2014-04-17,6,3,3
2014-04-18,0,86,0
2014-04-20,3,0,2
2014-04-22,5,3,0
2014-04-23,1,4,5
2014-04-24,0,13,8
2014-04-25,11,0,14
2014-04-27,855,3,5
2014-04-28,137,1375,0
2014-04-29,80,43,0
2014-04-30,6,10,0
2014-05-01,8,4179,0
2014-05-02,0,0,12
2014-05-05,16,11,0
2014-05-06,376,5,12
2014-05-07,85,6,8
2014-05-08,18,3269,0
2014-05-09,222,0,0
2014-05-10,8,0,0
2014-05-11,0,587,0
2014-05-12,5,2,117
2014-05-13,40,7,0
2014-05-15,10,0,0
2014-05-16,13,602,0
2014-05-17,487,100,18
2014-05-20,6,0,0
2014-05-22,17,9,5
2014-05-23,0,0,4
2014-05-24,39,0,0
2014-05-29,8,0,0
2014-05-30,29,4,0
2014-05-31,0,7,0
2014-06-02,14,0,8
2014-06-03,9,0,6
2014-06-07,12,5,0
2014-06-09,0,120,0
2014-06-10,0,4,0
2014-06-11,7,0,0
2014-06-13,72,27,0
2014-06-14,0,0,4
2014-06-18,0,9,4
2014-06-19,4,0,7
2014-06-23,4,34,0
2014-06-30,0,4,0
2014-07-07,0,9,0
2014-07-10,0,4,0
2014-07-12,8,0,0
2014-07-28,0,3,0
2014-08-01,3,0,0
2014-08-06,0,7,0
2014-08-14,3,0,0
2014-08-27,0,0,8
2014-09-01,0,4,0
2014-09-08,0,6,0
2014-09-10,0,16,0
2014-09-15,0,5,0
2014-09-18,0,0,3
2014-09-20,0,3,0
2014-09-21,0,9,0
2014-09-22,0,2,0
2014-09-24,0,8,0
2014-09-27,0,5,0
2014-10-12,0,1,0
2014-10-17,0,10,0
2014-10-21,0,8,0
2014-11-01,0,1,41
2014-11-03,2,0,0
2014-11-06,3,0,0
2014-11-10,6,2,0
2014-11-15,0,0,6
2014-12-12,2,0,0
2014-12-14,9,4,0
2014-12-16,1,455,2
2014-12-18,8,0,0
2014-12-24,2,0,0
2014-12-27,0,3,4
2014-12-30,3,0,0
2015-01-08,0,9,0
2015-01-26,0,5,0
2015-02-04,0,3,0
2015-02-10,0,4,0
2015-02-11,0,3,0
2015-02-12,0,3,0
2015-02-14,3,0,0
2015-02-15,0,6,0
2015-02-20,2,0,0
2015-02-22,0,0,4
2015-02-23,10,0,0
2015-03-06,0,0,2
2015-03-07,2,0,0
2015-03-09,3,0,0
2015-03-18,3,0,0
2015-03-22,0,0,3
2015-04-03,8,0,0
2015-04-07,5,0,0
2015-04-09,0,4,0
2015-04-12,1,0,0
2015-04-24,0,9,0
2015-04-27,2,0,0
2015-04-28,0,2,0
2015-04-30,0,4,0
2015-05-11,4,0,0
2015-05-13,0,4,0
2015-05-18,9,0,0
2015-05-22,0,0,3
2015-05-27,7,0,0
2015-06-04,31,0,0
2015-06-18,3,0,0
2015-06-26,0,4,0
2015-06-30,6,2,0
2015-07-04,1,0,0
2015-07-07,3,0,0
2015-07-13,0,5,0
2015-07-18,7,0,0
2015-07-19,5,0,4
2015-07-21,5,0,0
2015-07-22,0,661,0
2015-07-28,3,0,0
2015-08-02,3,2,0
2015-08-13,4,0,0
2015-08-21,2,1,0
2015-08-29,7,0,0
2015-09-08,0,6,0
2015-09-12,7,0,0
2015-10-05,3,0,0
2015-10-08,0,0,6
2015-10-10,0,0,2
2015-10-20,5,0,0
2015-10-26,5,0,0
2015-10-29,0,4,0
2015-11-04,0,12,0
2015-11-15,0,6,0
2015-12-26,4,0,0
2016-01-05,0,4,0
2016-01-11,0,6,0
2016-01-13,0,0,5
2016-01-25,0,0,3
2016-01-27,0,11,0
2016-01-29,8,0,0
2016-02-22,0,5,0
2016-02-23,0,4,0
2016-02-27,6,0,4
2016-03-08,6,0,0
2016-03-15,0,9,0
2016-03-22,2399,0,0
2016-03-31,0,5,0
2016-05-12,10,0,0
2016-05-13,11,0,0
2016-05-21,6,0,0
2016-06-06,0,0,17
2016-06-08,16,5,0
2016-06-23,0,0,17
2016-06-30,0,8,0
2016-07-06,42,7,0
2016-07-15,0,4,0
2016-08-12,0,1,0
2016-09-03,0,1,0
2016-09-04,0,7,0
2016-09-06,0,1,0
2016-09-09,0,0,6
2016-09-15,0,10,0
2016-09-21,0,131,4
2016-09-27,0,6,0
2016-09-28,5,2,0
2016-10-03,0,5,0
2016-10-05,0,3,0
2016-10-07,140,0,0
2016-10-08,2,3,0
2016-10-10,1,0,0
2016-10-11,1,0,0
2016-10-12,1,0,0
2016-10-13,5,1,0
2016-10-15,1,0,1
2016-10-17,27,2,0
2016-10-18,0,1,0
2016-10-19,0,2,0
2016-10-21,32,0,0
2016-10-22,17548,0,0
2016-10-23,0,1,0
2016-10-24,0,18,0
2016-10-26,0,11,0
2016-10-28,1,0,0
2016-10-29,0,0,1
2016-10-30,0,37,0
2016-10-31,0,1,0
2016-11-03,2,96,0
2016-11-04,7,0,1932
2016-11-05,2,0,0
2016-11-06,0,0,1
2016-11-07,1,0,0
2016-11-08,1,2,0
2016-11-09,1,29,0
2016-11-10,0,0,1
2016-11-11,1,0,0
2016-11-15,1,0,0
2016-11-17,0,20,0
2016-11-23,1,1,0
2016-11-25,20,1,0
2016-11-28,0,0,1
2016-11-29,371,0,0
2016-12-01,12492,12,22
2016-12-02,0,21,7
2016-12-05,2,0,1
2016-12-11,8,0,0
2016-12-13,0,1,0
2016-12-14,3,1,0
2016-12-15,2,0,0
2016-12-16,0,1,0
2016-12-18,9154,1,0
2016-12-19,427,0,0
2016-12-20,78,14,0
2016-12-23,11,0,0
2016-12-24,1,0,0
2016-12-26,247,11,0
2016-12-27,2,0,0
2016-12-28,0,167,0
2017-01-01,1,20,0
2017-01-02,5,1,1
2017-01-03,9,0,0
2017-01-05,1,0,1
2017-01-06,2,1,0
2017-01-07,2,6,0
2017-01-08,2,0,0
2017-01-09,2,0,4
2017-01-10,0,0,1
2017-01-11,2,0,0
2017-01-12,5,0,0
2017-01-14,1,1,0
2017-01-15,0,2,0
2017-01-16,2,0,0
2017-01-17,3,1,0
2017-01-18,1,4,0
2017-01-19,3,2,1
2017-01-20,1,3,0
2017-01-21,13,0,0
2017-01-22,4,0,1
2017-01-24,7,1,0
2017-01-26,1,0,0
2017-01-28,1,3,0
2017-01-29,3,0,0
2017-01-30,1,0,0
2017-01-31,4,6,2
2017-02-02,2,7,4
2017-02-03,2,1,1
2017-02-04,18,0,0
2017-02-06,4,1,1
2017-02-07,5,0,0
2017-02-08,0,2,0
2017-02-12,8,4,5
2017-02-13,5,11,0
2017-02-14,6,3,0
2017-02-15,22,2,0
2017-02-16,1,1,0
2017-02-17,6,0,0
2017-02-18,5,0,0
2017-02-19,2,1,2
2017-02-20,3,7,5
2017-02-21,3,1,0
2017-02-22,6,0,2
2017-02-23,0,1,0
2017-02-24,0,1,0
2017-02-25,3,1,0
2017-02-26,4,2,5
2017-02-27,14,2,0
2017-02-28,2,0,0
2017-03-01,1,0,1
2017-03-02,2,1,1
2017-03-03,3,1,0
2017-03-04,2,0,1
2017-03-05,5,0,0
2017-03-06,0,18,0
2017-03-07,2,52,0
2017-03-08,17,13,0
2017-03-10,5,2,3
2017-03-11,32,8,1
2017-03-13,0,1,0
2017-03-14,2,1,0
2017-03-15,7,0,0
2017-03-16,10,0,0
2017-03-17,0,2,0
2017-03-18,5,0,0
2017-03-21,6,2,1
2017-03-23,0,3,0
2017-03-24,1,0,0
2017-03-26,1,3,0
2017-03-27,1,7,0
2017-03-29,0,6,0
2017-03-30,2,0,1
2017-03-31,1,0,0
2017-04-01,8,0,0
2017-04-02,2,0,0
2017-04-03,0,0,1
2017-04-04,0,7,0
2017-04-05,5,2,0
2017-04-06,7,0,0
2017-04-08,1,9,0
2017-04-10,3,0,0
2017-04-11,1,0,0
2017-04-12,12,0,0
2017-04-13,15,0,0
2017-04-14,5,0,0
2017-04-19,18,17,0
2017-04-20,8,11,0
2017-04-21,9,8,0
2017-04-22,8,1,5
2017-04-23,1,0,1
2017-04-24,11,1,0
2017-04-25,1,1,1
2017-04-26,16,0,0
2017-04-27,0,14,0
2017-04-30,2,0,0
2017-05-03,0,1,0
2017-05-04,6,0,2
2017-05-05,24,1,1
2017-05-08,1,0,1
2017-05-09,3,12,1
2017-05-10,3,2,1
2017-05-11,0,71,1
2017-05-12,0,9,0
2017-05-13,1,0,0
2017-05-14,2,0,0
2017-05-15,1,1,4
2017-05-16,1,3,0
2017-05-17,6,4,1
2017-05-19,5,30,0
2017-05-20,1,1,3
2017-05-21,3,1,1
2017-05-22,1,1,1
2017-05-23,3,0,0
2017-05-24,0,1,1
2017-05-25,0,0,37
2017-05-26,0,556,0
2017-05-27,7,0,0
2017-05-29,341,24,0
2017-05-30,103,35,24
2017-05-31,52,4,0
2017-06-01,1,64,0
2017-06-02,61,217,1
2017-06-03,47,858,23
2017-06-04,52,1,0
2017-06-05,32,99,1
2017-06-06,0,0,1
2017-06-07,198,279,54
2017-06-08,177,78,0
2017-06-11,688,0,0
2017-06-12,122,2,9
2017-06-13,193,321,103
2017-06-14,107,157,59
2017-06-15,93,25,49
2017-06-16,357,0,0
2017-06-18,68,1,0
2017-06-19,194,184,7
2017-06-20,77,130,0
2017-06-21,1,0,0
2017-06-22,32,146,0
2017-06-23,3,0,3
2017-06-24,0,1,0
2017-06-25,3,0,7
2017-06-26,158,60,30
2017-06-27,70,4215,19
2017-06-28,59,172,2
2017-06-29,223,96,228
2017-06-30,60,232,25
2017-07-01,7,223,2
2017-07-02,263,191,39
2017-07-03,3,142,2
2017-07-05,2,42,37
2017-07-06,0,42,0
2017-07-07,55,69,1
2017-07-08,126,243,56
2017-07-09,0,41,0
2017-07-10,4,0,0
2017-07-11,36,8,0
2017-07-12,955,106,72
2017-07-13,50,104,0
2017-07-14,0,1,23
2017-07-15,9,5,3
2017-07-16,5,0,0
2017-07-17,2,0,2
2017-07-18,7,15,0
2017-07-19,104,90,0
2017-07-20,37,274,15
2017-07-21,119,210,0
2017-07-22,34,38,0
2017-07-23,586,50,1
2017-07-24,4,0,2
2017-07-25,2,99,0
2017-07-26,41,252,52
2017-07-27,552,68,18
2017-07-28,210,21,1
2017-07-29,0,0,103
2017-07-30,0,29,0
2017-07-31,18,49,0
2017-08-01,778,128,208
2017-08-03,0,0,47
2017-08-04,18,0,1
2017-08-05,91,205,70
2017-08-06,4627,30,0
2017-08-07,95,106,49
2017-08-08,1925,393,25
2017-08-09,0,0,2438
2017-08-10,239,108,1
2017-08-11,0,197,2
2017-08-13,5,0,1
2017-08-14,262,1,0
2017-08-15,0,20,105
2017-08-16,4,0,0
2017-08-17,3,77,36
2017-08-19,3,5,0
2017-08-21,4,2,1
2017-08-22,1,1,0
2017-08-23,1,0,1
2017-08-24,158,0,0
2017-08-25,8,2,37
2017-08-26,4,10,1
2017-08-27,96,0,2
2017-08-28,4,0,2
2017-08-30,0,164,0
2017-08-31,0,157,15
2017-09-01,203,107,0
2017-09-02,4,17,2
2017-09-04,129,39,4
2017-09-05,33,339,0
2017-09-06,949,26,38
2017-09-07,2,5,1
2017-09-08,250,52,0
2017-09-10,5,0,0
2017-09-11,1,0,1
2017-09-13,5,59,1
2017-09-14,2,1,0
2017-09-15,284,103,234
2017-09-16,34,141,62
2017-09-17,68,654,0
2017-09-18,363,45,1
2017-09-19,59,54,0
2017-09-20,29,27,0
2017-09-21,1,0,1
2017-09-22,2,1646,0
2017-09-23,12,12,980
2017-09-24,0,827,1
2017-09-25,17,0,0
2017-09-26,1,7,0
2017-09-27,42,62,172
2017-09-28,1,1,0
2017-09-29,3,0,0
2017-09-30,0,2,0
2017-10-01,2,0,0
2017-10-02,323,0,10
2017-10-03,0,1,0
2017-10-04,0,1,1
2017-10-05,0,10,0
2017-10-06,181,28,8
2017-10-07,0,1,16
2017-10-08,5,39,0
2017-10-09,58,195,7
2017-10-10,60,140,308
2017-10-11,7,32,1
2017-10-12,1,258,3
2017-10-15,14555,2,34
2017-10-16,623,1,1
2017-10-17,1,3,0
2017-10-18,1,2,0
2017-10-19,69,113,6
2017-10-20,19,2,1
2017-10-21,8,1,0
2017-10-22,1,0,0
2017-10-23,11,6,0
2017-10-24,101,32,0
2017-10-25,1,37,0
2017-10-26,0,1,0
2017-10-27,35,57,1
2017-10-28,76,54,18
2017-10-29,62,0,0
2017-10-30,35,0,2
2017-10-31,239,26,199
2017-11-01,41,0,0
2017-11-02,19,0,0
2017-11-03,358,0,0
2017-11-05,161,162,0
2017-11-07,7,98,0
2017-11-08,51,529,0
2017-11-09,187,1,20
2017-11-10,49,0,60
2017-11-11,13,148,0
2017-11-12,0,52,111
2017-11-14,234,0,0
2017-11-15,170,0,0
2017-11-17,466,0,0
2017-11-18,5,42,20
2017-11-19,0,177,11
2017-11-20,1019,174,0
2017-11-21,79,299,0
2017-11-22,58,21431,3
2017-11-23,59,256,12
2017-11-24,0,21,0
2017-11-26,89,125,0
2017-11-27,0,119,0
2017-11-28,1,0,0
2017-11-29,0,1793,0
2017-11-30,0,0,100
2017-12-01,32,0,5763
2017-12-02,13,0,0
2017-12-03,0,27,0
2017-12-04,23,0,0
2017-12-05,204,92,0
2017-12-06,620,1,0
2017-12-07,256,1211,192
2017-12-08,47,0,0
2017-12-09,0,3,2008
2017-12-10,137,40,0
2017-12-11,60,251,1
2017-12-12,1487,103,90
2017-12-13,47,2647,0
2017-12-14,296,0,0
2017-12-15,7086,50,0
2017-12-16,14,67,0
2017-12-17,0,0,44
2017-12-18,2059,458,0
2017-12-19,115,13,0
2017-12-20,274,238,19
2017-12-21,259,46,1
2017-12-22,531,1108,484
2017-12-23,62,86,28
2017-12-24,0,138,0
2017-12-25,0,24,0
2017-12-27,3,58,1
2017-12-28,659,32,0
2017-12-29,102,347,671
2017-12-30,34094,237,43
2017-12-31,70,5,0
2018-01-01,191,327,5
2018-01-02,548,198,21
2018-01-03,198,504,18
2018-01-04,8,1267,0
2018-01-05,475,1784,20
2018-01-06,212,88,3
2018-01-07,308,36,19
2018-01-08,1,0,0
2018-01-09,371,150,5
2018-01-10,5,80,40
2018-01-11,1350,9917,1
2018-01-12,0,216,5
2018-01-13,172,14,5
2018-01-14,67,75,77
2018-01-15,5,0,0
2018-01-16,315,90,63
2018-01-17,195,6,4
2018-01-18,6,186,849
2018-01-19,20,0,0
2018-01-20,21,0,0
2018-01-21,55,0,52
2018-01-22,53,405,0
2018-01-23,0,531,0
2018-01-24,148,66,41
2018-01-25,84,0,0
2018-01-26,188,223,1
2018-01-27,152,15,0
2018-01-28,137,55,0
2018-01-29,756,207,0
2018-01-30,0,0,4
2018-01-31,102,76,0
2018-02-01,269,276,104
2018-02-02,27425,308,21
2018-02-03,431,22,2336
2018-02-05,61,674,395
2018-02-06,484,2026,737
2018-02-07,3128,629,124
2018-02-08,950,407,58
2018-02-09,578,744,292
2018-02-10,29,59,0
2018-02-11,106,0,570
2018-02-12,30,0,671
2018-02-13,1644,132,55
2018-02-14,1002,604,63
2018-02-15,73,70,1
2018-02-16,245,76,3
2018-02-17,10,0,0
2018-02-18,1055,1,0
2018-02-19,67,213,786
2018-02-20,59,81,0
2018-02-21,1,8,0
2018-02-22,231,4,0
2018-02-23,538,141,4
2018-02-24,1,351,2
2018-02-26,610,159,0
2018-02-27,203,179,0
2018-02-28,161,427,12
2018-03-01,23,0,0
2018-03-02,131,5,0
2018-03-04,0,78,0
2018-03-05,0,57,0
2018-03-06,465,0,0
2018-03-10,61,70,0
2018-03-11,271,80,0
2018-03-12,110,0,0
2018-03-13,97,13,0
2018-03-14,1120,546,81
2018-03-15,383,543,105
2018-03-16,201,242,0
2018-03-17,43,29,0
2018-03-18,155,420,37
2018-03-19,451,542,187
2018-03-20,543,867,119
2018-03-21,634,369,147
2018-03-22,117,570,154
2018-03-23,154,459,31
2018-03-24,52,4838,59
2018-03-25,66,613,1
2018-03-26,171,662,146
2018-03-27,287,331,40
2018-03-28,598,944,19
2018-03-29,200,386,176
2018-03-30,29,124,27
2018-03-31,0,122,0
2018-04-01,36,24,0
2018-04-02,661,168,96
2018-04-03,85,579,153
2018-04-04,61,318,38
2018-04-05,357,591,34
2018-04-06,284,1215,56
2018-04-07,501,195,2
2018-04-08,0,667,20
2018-04-09,1118,529,0
2018-04-10,349,368,235
2018-04-11,510,194,220
2018-04-12,523,429,221
2018-04-13,970,413,13
2018-04-14,36,71,14
2018-04-15,70,29,230
2018-04-16,113,199,36
2018-04-17,208,237,0
2018-04-18,186,300,266
2018-04-19,360,190,0
2018-04-20,708,322,391
2018-04-21,0,0,25
2018-04-23,502,582,30
2018-04-24,264,872,140
2018-04-25,76,301,116
2018-04-26,365,465,272
2018-04-27,415,19,44
2018-04-28,191,50,0
2018-04-29,326,126,0
2018-04-30,169,52,107
2018-05-01,62,9,138
2018-05-02,543,317,80
2018-05-03,164,254,637
2018-05-04,452,306,52
2018-05-06,0,70,2
2018-05-07,483,191,61
2018-05-08,272,394,52
2018-05-09,304,378,0
2018-05-10,412,251,75
2018-05-11,136,220,61
2018-05-12,29,0,0
2018-05-13,158,55,15
2018-05-14,302,929,78
2018-05-15,332,69,175
2018-05-16,473,745,180
2018-05-17,457,220,20
2018-05-18,132,240,76
2018-05-19,94,23,0
2018-05-20,103,27,0
2018-05-21,239,64,19
2018-05-22,44,253,0
2018-05-23,77,365,46
2018-05-24,153,85,1376
2018-05-25,342,66,88
2018-05-26,163,250,41
2018-05-27,137,30,0
2018-05-28,400,48,187
2018-05-29,504,861,253
2018-05-30,97,372,150
2018-05-31,43470,249,95
2018-06-01,527,541,1652
2018-06-02,94,1925,0
2018-06-03,139,42,4
2018-06-04,171,230,101
2018-06-05,1373,49,0
2018-06-06,330,436,21
2018-06-07,111,502,127
2018-06-08,23,108,0
2018-06-09,13,28,0
2018-06-10,336,574,28
2018-06-11,136,957,93
2018-06-12,94,364,35
2018-06-13,236,359,0
2018-06-14,576,206,284
2018-06-15,71,0,52
2018-06-17,142,16,0
2018-06-18,187,360,238
2018-06-19,817,80,61
2018-06-20,130,369,126
2018-06-21,187,0,0
2018-06-22,336,160,104
2018-06-24,52,103,0
2018-06-25,388,56,0
2018-06-26,1506,234,0
2018-06-27,490,1087,165
2018-06-28,213,190,0
2018-06-29,681,414,70
